study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB5235	SAMEA2340774	ERX384349	ERR418049	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418049/ERR418049.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418049/ERR418049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418049/ERR418049_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418049/RF_013_SZAXPI009293-90.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418049
PRJEB5235	SAMEA2340775	ERX384350	ERR418050	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418050/ERR418050.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418050/ERR418050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418050/ERR418050_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418050/RF_014_SZAXPI009294-93.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418050
PRJEB5235	SAMEA2340776	ERX384351	ERR418051	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418051/ERR418051.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418051/ERR418051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418051/ERR418051_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418051/RF_015_SZAXPI009295-94.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418051
PRJEB5235	SAMEA2340777	ERX384352	ERR418052	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418052/ERR418052.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418052/ERR418052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418052/ERR418052_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418052/RF_016_SZAXPI009296-95.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418052
PRJEB5235	SAMEA2340778	ERX384353	ERR418053	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418053/ERR418053.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418053/ERR418053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418053/ERR418053_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418053/RF_017_SZAXPI009297-102.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418053
PRJEB5235	SAMEA2340779	ERX384354	ERR418054	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418054/ERR418054.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418054/ERR418054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418054/ERR418054_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418054/RF_018_SZAXPI009298-108.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418054
PRJEB5235	SAMEA2340780	ERX384355	ERR418055	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418055/ERR418055.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418055/ERR418055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418055/ERR418055_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418055/RF_019_SZAXPI009299-109.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418055
PRJEB5235	SAMEA2340781	ERX384356	ERR418056	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418056/ERR418056.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418056/ERR418056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418056/ERR418056_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418056/RF_020_SZAXPI009300-113.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418056
PRJEB5235	SAMEA2340782	ERX384357	ERR418057	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418057/ERR418057.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418057/ERR418057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418057/ERR418057_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418057/RF_021_SZAXPI009301-123.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418057
PRJEB5235	SAMEA2340783	ERX384358	ERR418058	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418058/ERR418058.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418058/ERR418058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418058/ERR418058_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418058/RF_022_SZAXPI009302-129.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418058
PRJEB5235	SAMEA2340784	ERX384359	ERR418059	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418059/ERR418059.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418059/ERR418059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418059/ERR418059_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418059/RF_023_SZAXPI009303-133.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418059
PRJEB5235	SAMEA2340785	ERX384360	ERR418060	4081	Solanum lycopersicum	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418060/ERR418060.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418060/ERR418060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418060/ERR418060_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418060/RF_024_SZAXPI009304-136.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418060
PRJEB5235	SAMEA2340786	ERX384361	ERR418061	230663	Solanum corneliomuelleri	ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418061/ERR418061.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418061/ERR418061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR418/ERR418061/ERR418061_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR418/ERR418061/RF_025_SZAXPI009305-140.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR418/ERR418061
